bribe,fit,se,ci_l,ci_u
0,0.3029544323940845,0.0223142102595892,0.25921858028528966,0.3466902845028793
0.15,0.30528107794199305,0.021898435485255524,0.2623601443908922,0.3482020114930939
0.3,0.30761770621221407,0.021486359011036776,0.265504442550582,0.34973096987384616
0.44999999999999996,0.30996423947498464,0.02107876478901854,0.2686498604885083,0.35127861846146097
0.6,0.3123205981379537,0.02067649672784422,0.271794664551379,0.3528465317245284
0.75,0.3146867007483622,0.020280462175487252,0.27493699488440715,0.35443640661231723
0.8999999999999999,0.3170624639958891,0.019891635175204665,0.27807485905248797,0.35605006893929025
1.05,0.3194478027161694,0.019511059336068334,0.28120612641747544,0.35768947901486337
1.2,0.32184262989498896,0.019139850120210793,0.28432852365937583,0.3593567361306021
1.3499999999999999,0.32424685667316405,0.01877919630567362,0.28743963191404376,0.36105408143228435
1.5,0.3266603923521093,0.018430360338343704,0.29053688608895567,0.36278389861526295
1.65,0.32908314440009956,0.018094677241958464,0.293617577005861,0.3645487117943381
1.7999999999999998,0.33151501845923026,0.01777355171616027,0.29667885709555614,0.3663511798229044
1.95,0.33395591835308036,0.017468453025536488,0.29971775042302884,0.3681940862831319
2.1,0.33640574609508234,0.017180907275771103,0.302731167834571,0.3700803243555937
2.25,0.3388644018976007,0.016912486696375274,0.30571592797270514,0.37201287582249626
2.4,0.34133178418172444,0.016664795613609035,0.30866878477905074,0.37399478358439814
2.55,0.34380778958777414,0.016439452912163696,0.3115864618799333,0.376029117295615
2.6999999999999997,0.34629231298652635,0.016238070956971808,0.3144656939108616,0.3781189320621911
2.85,0.3487852474911564,0.016062231178365374,0.31730327438156025,0.3802672206007526
3,0.35128648446990246,0.015913456807019628,0.320096109128144,0.3824768598116609
3.15,0.3537959135594487,0.01579318356049846,0.32284127378087174,0.3847505533380257
3.3,0.35631342267903054,0.015702729399217765,0.32553607305656374,0.38709077230149735
3.4499999999999997,0.3588388980452597,0.015643264744126622,0.32817809914677154,0.38949969694374786
3.5999999999999996,0.36137222418766973,0.015615784734047795,0.3307652861089361,0.3919791622664034
3.75,0.36391328396497974,0.015621085153392602,0.33329595706433024,0.39453061086562924
3.9,0.36646195858207536,0.015659743550547306,0.33576886122300265,0.3971550559411481
4.05,0.36901812760770414,0.0157321067865466,0.3381831983060728,0.3998530569093355
4.2,0.371581668992883,0.015838285824168487,0.34053862877751273,0.4026247092082532
4.35,0.3741524590900145,0.015978158038368797,0.3428352693348117,0.4054696488452173
4.5,0.37673037267270815,0.0161513767683659,0.345073674206711,0.4083870711387053
4.6499999999999995,0.37931528295630235,0.016357387313766656,0.3472548038213197,0.411375762091285
4.8,0.3819070616190829,0.016595448166703494,0.34937998321234404,0.41443414002582174
4.95,0.3845055788241914,0.016864656012202058,0.35145085304027535,0.41756030460810745
5.1,0.3871107032422196,0.017163972935171315,0.3534693162892838,0.42075209019515536
5.25,0.3897223020744823,0.017492254332739886,0.3554374835823121,0.42400712056665246
5.3999999999999995,0.3923402410769619,0.017848276212753828,0.35735761969996443,0.4273228624539594
5.55,0.3949643845849182,0.018230760819946706,0.3592320933778227,0.43069667579201376
5.7,0.3975945955381548,0.018638399826162923,0.36106333187887546,0.4341258591974341
5.85,0.4002307355069343,0.019069874611929955,0.3628537812675516,0.437607689746317
6,0.40287266471853306,0.019523873425949474,0.36460587280367207,0.44113945663339404
6.1499999999999995,0.4055202420844274,0.0199991054205581,0.3663219954601335,0.44471848870872127
6.3,0.4081733252280993,0.020494311718926354,0.3680044742590036,0.44834217619719496
6.45,0.41083177051345343,0.02100827377555742,0.3696555539133609,0.45200798711354595
6.6,0.41349543307383374,0.0215398193521397,0.37127738714363995,0.45571347900402753
6.75,0.41616416684162844,0.022087826455047716,0.37287202698973493,0.45945630669352194
6.8999999999999995,0.4188378245784519,0.022651225578215747,0.37444142244514905,0.4632342267117548
7.05,0.4215162579058909,0.02322900057439096,0.3759874167800846,0.4670450990316972
7.199999999999999,0.42419931733680283,0.02382018844617964,0.3775117479822907,0.47088688669131495
7.35,0.42688685230715323,0.024423878311376244,0.3790160508168558,0.47475765379745066
